dataset_id,sample_group,sample_size,kind,ok,msg
QTD000261,kidney_cortex,73,permuted,True,cached
QTD000261,kidney_cortex,73,susie,True,cached
QTD000206,brain_substantia_nigra,114,permuted,True,cached
QTD000206,brain_substantia_nigra,114,susie,True,cached
QTD000201,brain_spinal_cord,126,permuted,True,cached
QTD000201,brain_spinal_cord,126,susie,True,cached
QTD000346,uterus,129,permuted,True,"ok 827,688B"
QTD000346,uterus,129,susie,True,"ok 791,167B"
QTD000146,brain_amygdala,129,permuted,True,"ok 885,048B"
QTD000146,brain_amygdala,129,susie,True,"ok 830,639B"
QTD000351,vagina,141,permuted,True,"ok 849,786B"
QTD000351,vagina,141,susie,True,"ok 735,709B"
QTD000276,minor_salivary_gland,144,permuted,True,"ok 804,284B"
QTD000276,minor_salivary_gland,144,susie,True,"ok 974,732B"
QTD000221,LCL,147,permuted,True,"ok 677,475B"
QTD000221,LCL,147,susie,True,"ok 1,049,174B"
QTD000151,brain_anterior_cingulate_cortex,147,permuted,True,"ok 872,310B"
QTD000151,brain_anterior_cingulate_cortex,147,susie,True,"ok 1,296,003B"
QTD000181,brain_hippocampus,165,permuted,True,"ok 908,935B"
QTD000181,brain_hippocampus,165,susie,True,"ok 1,097,127B"
QTD000291,ovary,167,permuted,True,"ok 826,488B"
QTD000291,ovary,167,susie,True,"ok 1,168,270B"
QTD000186,brain_hypothalamus,170,permuted,True,"ok 904,662B"
QTD000186,brain_hypothalamus,170,susie,True,"ok 1,208,413B"
QTD000196,brain_putamen,170,permuted,True,"ok 870,800B"
QTD000196,brain_putamen,170,susie,True,"ok 1,504,837B"
QTD000321,small_intestine,174,permuted,True,"ok 869,428B"
QTD000321,small_intestine,174,susie,True,"ok 1,213,362B"
QTD000161,brain_cerebellar_hemisphere,175,permuted,True,"ok 831,384B"
QTD000161,brain_cerebellar_hemisphere,175,susie,True,"ok 2,599,967B"
QTD000176,brain_frontal_cortex,175,permuted,True,"ok 862,692B"
QTD000176,brain_frontal_cortex,175,susie,True,"ok 1,530,123B"
QTD000156,brain_caudate,194,permuted,True,"ok 892,926B"
QTD000156,brain_caudate,194,susie,True,"ok 1,774,831B"
QTD000191,brain_nucleus_accumbens,202,permuted,True,"ok 891,714B"
QTD000191,brain_nucleus_accumbens,202,susie,True,"ok 1,782,855B"
QTD000171,brain_cortex,205,permuted,True,"ok 882,596B"
QTD000171,brain_cortex,205,susie,True,"ok 2,185,199B"
QTD000266,liver,208,permuted,True,"ok 734,049B"
QTD000266,liver,208,susie,True,"ok 1,280,028B"
QTD000166,brain_cerebellum,209,permuted,True,"ok 858,054B"
QTD000166,brain_cerebellum,209,susie,True,"ok 3,408,768B"
QTD000136,artery_coronary,213,permuted,True,"ok 819,814B"
QTD000136,artery_coronary,213,susie,True,"ok 1,376,164B"
QTD000306,prostate,218,permuted,True,"ok 901,453B"
QTD000306,prostate,218,susie,True,"ok 1,601,304B"
QTD000326,spleen,227,permuted,True,"ok 813,909B"
QTD000326,spleen,227,susie,True,"ok 2,383,695B"
QTD000126,adrenal_gland,233,permuted,True,"ok 804,336B"
QTD000126,adrenal_gland,233,susie,True,"ok 1,923,138B"
QTD000301,pituitary,237,permuted,True,"ok 891,314B"
QTD000301,pituitary,237,susie,True,"ok 2,371,169B"
QTD000296,pancreas,305,permuted,True,"ok 678,083B"
QTD000296,pancreas,305,susie,True,"ok 2,367,098B"
QTD000226,colon_sigmoid,318,permuted,True,"ok 826,723B"
QTD000226,colon_sigmoid,318,susie,True,"ok 2,478,945B"
QTD000336,testis,322,permuted,True,"ok 1,110,294B"
QTD000336,testis,322,susie,True,"ok 5,137,490B"
QTD000331,stomach,324,permuted,True,"ok 828,193B"
QTD000331,stomach,324,susie,True,"ok 1,966,708B"
QTD000236,esophagus_gej,330,permuted,True,"ok 810,360B"
QTD000236,esophagus_gej,330,susie,True,"ok 2,522,375B"
QTD000231,colon_transverse,368,permuted,True,"ok 849,297B"
QTD000231,colon_transverse,368,susie,True,"ok 2,564,483B"
QTD000251,heart_atrial_appendage,372,permuted,True,"ok 798,165B"
QTD000251,heart_atrial_appendage,372,susie,True,"ok 2,713,452B"
QTD000256,heart_left_ventricle,382,permuted,True,"ok 784,524B"
QTD000256,heart_left_ventricle,382,susie,True,"ok 2,555,263B"
QTD000131,artery_aorta,387,permuted,True,"ok 785,582B"
QTD000131,artery_aorta,387,susie,True,"ok 3,117,194B"
QTD000211,breast,394,permuted,True,"ok 870,277B"
QTD000211,breast,394,susie,True,"ok 2,632,942B"
QTD000246,esophagus_muscularis,461,permuted,True,"ok 802,627B"
QTD000246,esophagus_muscularis,461,susie,True,"ok 3,805,431B"
QTD000121,adipose_visceral,469,permuted,True,"ok 826,292B"
QTD000121,adipose_visceral,469,susie,True,"ok 3,083,382B"
QTD000216,fibroblast,483,permuted,True,"ok 693,879B"
QTD000216,fibroblast,483,susie,True,"ok 3,958,208B"
QTD000241,esophagus_mucosa,493,permuted,True,"ok 761,269B"
QTD000241,esophagus_mucosa,493,susie,True,"ok 3,794,677B"
QTD000271,lung,510,permuted,True,"ok 859,979B"
QTD000271,lung,510,susie,True,"ok 3,431,423B"
QTD000311,skin_not_sun_exposed,517,permuted,True,"ok 825,921B"
QTD000311,skin_not_sun_exposed,517,susie,True,"ok 3,815,404B"
QTD000286,nerve_tibial,532,permuted,True,"ok 853,906B"
QTD000286,nerve_tibial,532,susie,True,"ok 5,264,471B"
QTD000341,thyroid,574,permuted,True,"ok 868,678B"
QTD000341,thyroid,574,susie,True,"ok 5,200,209B"
QTD000116,adipose_subcutaneous,581,permuted,True,"ok 816,430B"
QTD000116,adipose_subcutaneous,581,susie,True,"ok 4,241,250B"
QTD000141,artery_tibial,584,permuted,True,"ok 757,869B"
QTD000141,artery_tibial,584,susie,True,"ok 4,103,712B"
QTD000316,skin_sun_exposed,602,permuted,True,"ok 821,884B"
QTD000316,skin_sun_exposed,602,susie,True,"ok 4,476,599B"
QTD000356,blood,670,permuted,True,"ok 599,912B"
QTD000356,blood,670,susie,True,"ok 3,323,960B"
QTD000281,muscle,702,permuted,True,"ok 682,495B"
QTD000281,muscle,702,susie,True,"ok 3,795,218B"
